ID,Line,Severity,Issue summary,Issue description,Property names,Property values,Error blocks capability,Capabilities
insp_e3069e07-9636-4db4-aaa1-4c834123cd48,201931,Item not uploaded,일부 제품 콘텐츠 ID가 일치하지 않음,"보충할 항목의 제품 콘텐츠 ID가 카탈로그에 있는 ID와 일치하지 않습니다. 보조 피드는 제품 상세 정보만 추가하거나 덮어쓸 수 있으며 항목을 만들거나 삭제할 수 없습니다.",id,"",false,
insp_01bc1c1d-f718-4379-89e5-43c1d0298b61,201871,Item not uploaded,일부 제품 콘텐츠 ID가 일치하지 않음,"보충할 항목의 제품 콘텐츠 ID가 카탈로그에 있는 ID와 일치하지 않습니다. 보조 피드는 제품 상세 정보만 추가하거나 덮어쓸 수 있으며 항목을 만들거나 삭제할 수 없습니다.",id,"",false,
insp_8bb7f92f-4cc7-44a9-92f2-5dfc18ceb1f4,201619,Item not uploaded,일부 제품 콘텐츠 ID가 일치하지 않음,"보충할 항목의 제품 콘텐츠 ID가 카탈로그에 있는 ID와 일치하지 않습니다. 보조 피드는 제품 상세 정보만 추가하거나 덮어쓸 수 있으며 항목을 만들거나 삭제할 수 없습니다.",id,"",false,
insp_995688bf-c453-41fb-8c40-ba7bbb9c0219,202411,Item not uploaded,일부 제품 콘텐츠 ID가 일치하지 않음,"보충할 항목의 제품 콘텐츠 ID가 카탈로그에 있는 ID와 일치하지 않습니다. 보조 피드는 제품 상세 정보만 추가하거나 덮어쓸 수 있으며 항목을 만들거나 삭제할 수 없습니다.",id,"",false,
insp_d123ba5c-776a-4f78-af59-c6ff211e6317,202699,Item not uploaded,일부 제품 콘텐츠 ID가 일치하지 않음,"보충할 항목의 제품 콘텐츠 ID가 카탈로그에 있는 ID와 일치하지 않습니다. 보조 피드는 제품 상세 정보만 추가하거나 덮어쓸 수 있으며 항목을 만들거나 삭제할 수 없습니다.",id,"",false,
insp_331e9926-9f7c-4c9f-a4b5-359d24f3d3ed,202459,Item not uploaded,일부 제품 콘텐츠 ID가 일치하지 않음,"보충할 항목의 제품 콘텐츠 ID가 카탈로그에 있는 ID와 일치하지 않습니다. 보조 피드는 제품 상세 정보만 추가하거나 덮어쓸 수 있으며 항목을 만들거나 삭제할 수 없습니다.",id,"",false,
insp_d762929f-31ba-486d-a777-0fbd83b26470,201799,Item not uploaded,일부 제품 콘텐츠 ID가 일치하지 않음,"보충할 항목의 제품 콘텐츠 ID가 카탈로그에 있는 ID와 일치하지 않습니다. 보조 피드는 제품 상세 정보만 추가하거나 덮어쓸 수 있으며 항목을 만들거나 삭제할 수 없습니다.",id,"",false,
insp_8ce03c72-f0c0-46fc-a301-73445cbe44aa,202447,Item not uploaded,일부 제품 콘텐츠 ID가 일치하지 않음,"보충할 항목의 제품 콘텐츠 ID가 카탈로그에 있는 ID와 일치하지 않습니다. 보조 피드는 제품 상세 정보만 추가하거나 덮어쓸 수 있으며 항목을 만들거나 삭제할 수 없습니다.",id,"",false,
insp_36a0350f-55bc-4c41-afdb-4891ddac7fee,201763,Item not uploaded,일부 제품 콘텐츠 ID가 일치하지 않음,"보충할 항목의 제품 콘텐츠 ID가 카탈로그에 있는 ID와 일치하지 않습니다. 보조 피드는 제품 상세 정보만 추가하거나 덮어쓸 수 있으며 항목을 만들거나 삭제할 수 없습니다.",id,"",false,
insp_83f8d267-44c4-4615-9a0c-eb49b52b1c12,202759,Item not uploaded,일부 제품 콘텐츠 ID가 일치하지 않음,"보충할 항목의 제품 콘텐츠 ID가 카탈로그에 있는 ID와 일치하지 않습니다. 보조 피드는 제품 상세 정보만 추가하거나 덮어쓸 수 있으며 항목을 만들거나 삭제할 수 없습니다.",id,"",false,
insp_b94c3d20-2772-423b-89d3-4dedd39530a8,202795,Item not uploaded,일부 제품 콘텐츠 ID가 일치하지 않음,"보충할 항목의 제품 콘텐츠 ID가 카탈로그에 있는 ID와 일치하지 않습니다. 보조 피드는 제품 상세 정보만 추가하거나 덮어쓸 수 있으며 항목을 만들거나 삭제할 수 없습니다.",id,"",false,
insp_5e058a38-3c38-4b75-817d-0526ef15117b,202051,Item not uploaded,일부 제품 콘텐츠 ID가 일치하지 않음,"보충할 항목의 제품 콘텐츠 ID가 카탈로그에 있는 ID와 일치하지 않습니다. 보조 피드는 제품 상세 정보만 추가하거나 덮어쓸 수 있으며 항목을 만들거나 삭제할 수 없습니다.",id,"",false,
